Team,Points,Goals scored,Goals conceded,Passes,Shots,Shots on target
Manchester United,1.9580026687714949,1.9580026687714949,1.8585004384372006,2.015155606978396,1.8975799385983139,1.9615897940736526
Manchester City,2.472115101353954,2.472115101353954,1.652000389721956,2.292189378525537,2.301376504113671,2.2928639718204367
Chelsea,1.9908183559576096,1.9908183559576096,1.95236409694413,2.073299925349042,2.1680972455612166,2.091866156108905
Leicester City,1.6079686721196076,1.6079686721196076,2.49677331628432,1.567968733992489,1.6719289166926727,1.6079825256922544
Liverpool,2.100203979911324,2.100203979911324,2.0274550237496736,2.0989790473880667,2.189210791470516,2.1811985186473635
Arsenal,2.0236340431437236,2.0236340431437236,2.1588641456593742,2.1265474742017347,1.9530029966102256,2.0434777930672396
